math_marks,science_marks,social_marks,english_marks,hobby,activity,logic_score,creative_score,leadership_score,stream
90,65,68,59,Technical,Robotics,5,2,3,Science
76,89,73,71,Technical,Volunteering,4,2,2,Science
62,70,57,100,Technical,Volunteering,1,5,2,Humanities
66,73,100,78,Technical,Volunteering,1,4,3,Humanities
85,96,81,63,Technical,Volunteering,5,4,2,Science
80,94,65,90,Artistic,Debating,4,2,5,Humanities
78,79,79,63,Business,Finance Club,5,2,3,Commerce
94,98,61,70,Technical,Volunteering,5,3,3,Science
65,94,82,85,Technical,Robotics,5,5,1,Science
68,81,81,68,Technical,Volunteering,4,1,4,Science
76,80,73,67,Literary,Drama,5,2,2,Humanities
50,73,60,76,Literary,Drama,1,2,1,Humanities
55,43,73,86,Artistic,Drama,1,4,3,Humanities
75,90,71,76,Artistic,Drama,3,5,4,Humanities
52,46,90,52,Artistic,Volunteering,1,3,1,Humanities
74,71,74,58,Literary,Debating,4,1,2,Humanities
78,100,75,66,Business,Volunteering,5,1,5,Science
94,71,81,87,Technical,Robotics,5,5,4,Science
76,75,74,80,Artistic,Drama,3,4,4,Humanities
48,76,87,81,Literary,Volunteering,2,4,4,Humanities
82,74,77,88,Literary,Drama,2,3,1,Humanities
77,71,69,96,Artistic,Drama,3,5,4,Humanities
72,72,72,78,Literary,Drama,2,1,5,Humanities
73,79,76,100,Literary,Drama,3,5,1,Humanities
52,46,56,82,Literary,Debating,1,2,2,Humanities
86,88,85,63,Technical,Robotics,4,2,4,Science
75,91,97,100,Technical,Volunteering,5,4,1,Science
95,85,87,60,Technical,Robotics,5,1,5,Science
65,84,75,64,Technical,Robotics,4,5,4,Science
66,55,68,77,Technical,Robotics,1,3,3,Science
83,82,70,83,Literary,Volunteering,5,4,4,Humanities
78,84,81,75,Technical,Robotics,5,4,2,Science
62,73,67,75,Artistic,Drama,1,2,1,Humanities
71,67,64,60,Business,Entrepreneurship,4,1,3,Commerce
74,77,86,75,Artistic,Debating,3,4,5,Humanities
65,77,74,66,Artistic,Drama,1,3,3,Humanities
70,76,73,94,Artistic,Volunteering,3,5,2,Humanities
73,92,78,92,Artistic,Volunteering,3,5,3,Humanities
47,73,76,81,Business,Finance Club,2,3,2,Commerce
64,55,73,76,Literary,Drama,1,2,4,Humanities
74,74,76,43,Technical,Volunteering,4,1,5,Science
96,81,92,63,Business,Entrepreneurship,5,5,5,Commerce
69,79,49,87,Technical,Volunteering,3,3,2,Science
77,91,68,94,Business,Finance Club,4,4,4,Commerce
87,74,87,76,Technical,Robotics,5,4,4,Science
61,68,72,69,Literary,Drama,2,2,1,Humanities
62,61,58,71,Artistic,Debating,1,2,1,Humanities
76,91,67,67,Technical,Volunteering,4,2,3,Science
57,60,76,75,Artistic,Drama,1,4,3,Humanities
87,81,65,67,Technical,Volunteering,5,1,4,Science
100,76,86,84,Technical,Volunteering,5,4,5,Science
85,89,79,100,Business,Entrepreneurship,4,3,5,Commerce
88,83,70,81,Artistic,Drama,5,5,1,Humanities
90,81,44,52,Technical,Volunteering,5,1,1,Science
87,72,70,70,Technical,Robotics,3,3,4,Science
63,60,69,90,Business,Entrepreneurship,1,5,1,Humanities
68,100,89,49,Business,Volunteering,5,1,1,Science
75,70,79,65,Business,Volunteering,2,1,4,Commerce
78,87,79,70,Artistic,Volunteering,3,5,3,Humanities
58,77,81,78,Artistic,Volunteering,2,5,3,Humanities
79,76,68,88,Artistic,Drama,4,3,5,Humanities
55,69,79,85,Artistic,Volunteering,3,5,1,Humanities
53,77,80,72,Literary,Volunteering,1,1,5,Humanities
92,79,83,79,Literary,Volunteering,3,3,3,Humanities
69,54,73,72,Artistic,Debating,3,5,2,Humanities
83,81,82,87,Literary,Drama,3,3,4,Humanities
75,75,100,95,Technical,Robotics,5,4,2,Science
78,93,67,80,Technical,Robotics,5,2,3,Science
